StudentID,Skills,Interests,Availability,PreferredProjectType,SuggestedProject
S0001,"Figma, Django",Healthcare,Full-time,Research,E-learning Gamification Platform
S0002,"Django, Flask, Python",Climate,Full-time,Technical,AI-powered Diet Planner
S0003,"TensorFlow, Django",Cybersecurity,Part-time,Technical,Smart Attendance System
S0004,"TensorFlow, Django, NodeJS, React",Automation,Full-time,Research,Finance Tracker Web App
S0005,"ML, Django, Java, Keras",Cybersecurity,Full-time,Creative,Smart Attendance System
S0006,"Flask, Java, AI",Social Impact,Part-time,Research,Mental Health UI Toolkit
S0007,"Keras, Django, Java",Education,Full-time,Research,Chatbot for Students
S0008,"Figma, Keras",Cybersecurity,Full-time,Research,Smart Attendance System
S0009,"Java, Python, JavaScript",Finance,Full-time,Creative,Automated Resume Screener
S0010,"Django, TensorFlow, JavaScript",Education,Part-time,Research,Voice-based Email Client
S0011,"Django, NodeJS, JavaScript",Social Impact,Part-time,Research,Chatbot for Students
S0012,"React, Java",Cybersecurity,Full-time,Research,Finance Tracker Web App
S0013,"AI, ML, Python",Finance,Full-time,Creative,Mental Health UI Toolkit
S0014,"Python, ML, Figma",Healthcare,Full-time,Creative,Voice-based Email Client
S0015,"C++, ML",Automation,Full-time,Creative,AI-powered Diet Planner
S0016,"ML, NodeJS",Education,Part-time,Creative,Smart Attendance System
S0017,"TensorFlow, AI",Automation,Part-time,Research,E-learning Gamification Platform
S0018,"React, Flask",Automation,Full-time,Creative,Chatbot for Students
S0019,"Python, JavaScript, Java",Automation,Full-time,Creative,Blockchain Voting System
S0020,"NodeJS, TensorFlow, Django",Climate,Full-time,Research,Mental Health UI Toolkit
S0021,"C++, Java, Keras, Python",Automation,Full-time,Research,Chatbot for Students
S0022,"ML, Figma",Climate,Full-time,Technical,AI-powered Diet Planner
S0023,"Keras, JavaScript, Django, NodeJS",Cybersecurity,Part-time,Creative,Smart Attendance System
S0024,"React, AI, Python, Keras",Healthcare,Full-time,Technical,Chatbot for Students
S0025,"Keras, Figma",Social Impact,Part-time,Technical,Finance Tracker Web App
S0026,"ML, Keras",Cybersecurity,Full-time,Technical,Finance Tracker Web App
S0027,"Flask, Django, C++",Climate,Part-time,Technical,Blockchain Voting System
S0028,"JavaScript, C++",Finance,Full-time,Technical,Mental Health UI Toolkit
S0029,"Figma, ML, Python, Java",Education,Full-time,Technical,Automated Resume Screener
S0030,"React, Figma, C++",Education,Full-time,Research,Finance Tracker Web App
S0031,"Keras, Python, Django, JavaScript",Automation,Part-time,Technical,Voice-based Email Client
S0032,"AI, JavaScript, Flask",Finance,Part-time,Creative,AI-powered Diet Planner
S0033,"Python, TensorFlow",Social Impact,Part-time,Creative,Voice-based Email Client
S0034,"JavaScript, NodeJS, Django",Automation,Part-time,Research,AI-powered Diet Planner
S0035,"TensorFlow, NodeJS",Automation,Part-time,Research,AI-powered Diet Planner
S0036,"Keras, Django, React",Automation,Part-time,Research,AI-powered Diet Planner
S0037,"Python, Flask, Java",Cybersecurity,Full-time,Technical,Mental Health UI Toolkit
